composition,band gap
Ba5Al2Ge7,0
Ba5Bi3,0
Ba5Cd(Ga2Se5)3,2.6
Ba5Ga6GeP12,1.39
Ba5Ga6SnP12,1.21
Ba5Ge3,0
Ba5In4Bi5,0
Ba5In4Te4S7,2.13
Ba5Sb3,0
Ba5V3O12F,3.85
Ba6Al4B14O33,3.44
Ba6Ga2SnSe11,1.99
Ba6In2NF,0
Ba6Sn6Se13,1.52
Ba7(SnS3)5,2.29
Ba7B3O9F5,4.94
Ba7Ga5AgS15,2.6
Ba7Ru4Br2O15,0
Ba8Al10B12O41,3.1
Ba8Hg4Se7S5,1.98
Ba8Sn4S15,2.31
Ba8Ta7O24,0
BaAg,0
BaAg2,0
BaAgSbS3,2.2
BaAl2,0
BaAl4Se7,3.4
BaAlCu4O7,0
BaAu(IO3)5,2.32
BaAu2,0
BaB6,2.64
BaBClF4,6.89
BaBSbS4,2.34
BaBiClO2,3.71
BaCaB2O5,5.6
BaCaSn3,0
BaCdSnS4,2.3
BaCu2SnSe4,0.48
BaCuSbS3,2
BaCuSbSe3,1.6
BaCuTeF,2.3
BaDy2CuO5,0
BaEu2Mn2O7,0
BaGa2GeS6,3.23
BaGa2SiS6,3.75
BaGa2SiSe6,2.88
BaGa4S7,3.54
BaGa4Se7,2.64
BaGe2,1
BaGe3Pt,0
BaGe4(IrS3)2,1.54
BaGe4(IrSe3)2,1.33
BaGe4(RhSe3)2,1.09
BaHgS2,1.93
BaHgSe2,1.56
BaIn2(P2O7)2,3.97
BaIn2Ir,0
BaLa2CoS5,0
BaLa2In2S7,1.87
BaLa2In2Se7,1.66
BaLa2Te5O14,3.81
BaLi4,0
BaMn4O7,0
BaMn4ZnO8,0
BaMnO3,0
BaNa2GeS4,3.7
BaNa2GeSe4,2.25
BaNa2SnS4,3.27
BaNa2SnSe4,2.46
BaNaB5O9,4.78
BaNb4O6,0
BaO,4.8
BaPd(IO3)4,1.97
BaPdSe6,2.15
BaPrO3,2
BaPt5,0
BaReH9,3.44
BaS,3.88
BaSi,0
BaSi2,1.3
BaSn2S5,2.35
BaSn3,0
BaSnO3,3.1
BaTaNO2,1.78
BaTbMn2O6,0
BaTe,3.4
BaTeMo2O9,3.12
BaTh3,0
BaTi14O28,0
BaTi4O7,0
BaTi4O8,0
BaTl(MoO3)2,0
BaTl3,0
BaUSe3,1
BaV2SeO8,2.13
BaYb2O4,0
BaYbSn3,0
BaZn(MoO2)4,0
BaZn5,0
BaZnGeSe4,2.46
BaZnSO,3.9
BaZnSiSe4,2.71
Be12Pt,0
Be22Re,0
Be2HgTe,0
Be2W,0
Be3N2,3.8
Be3Sb2,0.67
BeAlB,0
BeCu,0
BeFe2Si,0
BeGaO3,0
BeGaRh2,0
BeO,10.39
BePd2,0
BePd3,0
BeS,4.17
BeSe,4
BeSiOs2,0
BeSiRu2,0
BeTcSe,0
BeTe,2.89
Bi0.002Te0.003Pb0.999Se0.999,0.79
Bi0.04Te0.06Pb0.98Se0.98,0.28
Bi0.2Sb1.8Te3,0.28
Bi0.2Te0.3Pb0.9Se0.9,0.25
Bi0.4Sb1.6Te3,0.21
Bi0.4Te0.6Pb0.8Se0.8,0.22
Bi0.6Sb1.4Te3,0.2
Bi1.4Sb0.6Te3,0.17
Bi1.6Sb0.4Te3,0.16
Bi1.8Sb0.2Te3,0.15
Bi1.98Sb0.02Te3,0.14
Bi12PO20,3.25
Bi12Rh12O41,0
Bi1Sb0.15,0.02
Bi2(BO3)3,0
Bi2(MoO4)3,2.9
Bi2(PO4)3,0
Bi24BO39,2.91
Bi2AsClO4,3.43
Bi2CO5,3.42
Bi2I4O13,3.3
Bi2Mo2Se2O13,3.15
Bi2O5,0
Bi2Pd3S2,0
Bi2Pt,0
Bi2SI2O11,3.74
Bi2Se3,0.35
Bi2SeI2O11,3.7
Bi2Te0.03Se2.97,0.27
Bi2Te0.1Se2.9,0.78
Bi2Te0.3Se2.7,0.24
Bi2Te0.45Se2.55,0.2
Bi2Te0.4Se2.6,0.7
Bi2Te0.6Se2.4,0.28
Bi2Te0.9Se2.1,0.28
Bi2Te1.2Se1.8,0.28
Bi2Te1.5Se1.5,0.29
Bi2Te2.1Se0.9,0.29
Bi2Te2.4Se0.6,0.25
Bi2Te2.7Se0.3,0.2
Bi2Te2.97Se0.03,0.15
Bi2Te2SO10,3.6
Bi2Te2Se,0.3
Bi2Te3,0.25
Bi3BTeO9,2.6
Bi3I4O13F3,3.7
Bi3Se2NO11,3.59
Bi4I,0
Bi4Pb7Se13,0.29
Bi4Pd(SeO3)4,2.06
Bi5IO7,2.76
Bi7O5F11,4.05
Bi8Te7S5,0.4
Bi9S6O7.5,1.27
BiAs2Os,0
BiBPbO4,3.2
BiBr3,2.66
BiBrO,2.92
BiClO,3.46
BiIO3F2,3.97
BiO,0
BiP3(PbO4)3,3.7
BiPO4,3.85
BiPb2S2I3,1.6
BiPbClO2,2.45
BiPd,0
BiSBr,1.88
BiSCl,1.89
BiSI,1.56
BiSbTe3,0.19
BiSe,0.4
BiSeI,1.28
BiSeO3F,3.83
BiTeI,0.46
BiTeNO6,3.62
CBr4,3.7
CI4,2.26
Ca(AgGe)2,0
Ca(Al4Co)2,0
Ca(AlZn)2,0
Ca(BC)2,0
Ca(BIr)2,0
Ca(BiO2)2,3.08
Ca(CoGe)2,0
Ca(CoS2)4,0
Ca(GdS2)2,2.55
Ca(GeRh)2,0
Ca(LaS2)2,2.7
Ca(MnAs)2,0
Ca(NdS2)2,2.7
Ca(Ni2O3)2,0
Ca(PrS2)2,2.9
Ca(SiPd)2,0
Ca(SmS2)2,2.05
Ca(TiS2)4,0
Ca10Ge16(B2O17)3,5.47
Ca11Bi10,0
Ca11Ga7,0
Ca2Bi2O5,3.34
Ca2CdAs2,0.95
Ca2CdPb,0
Ca2Co9O13,0
Ca2CuWO6,0
Ca2Ge,1
Ca2GeN2,0
Ca2Mn9O13,0
Ca2MnAlO5,0
Ca2NiIrO6,0
Ca2Os2O7,0
Ca2PbAu2,0
Ca2ScSbO6,3.68
Ca2Si,1.9
Ca2SmTaO6,3.45
Ca2Sn,0.9
Ca2Sn2F3,0
Ca2SnS4,2.32
Ca2Ti9O13,0
Ca2TlCd,0
Ca2ZnRh,0
Ca3(GaPt)2,0
Ca3Al2Ge3,0
Ca3Au,0
Ca3Au4,0
Ca3Bi(PO4)3,4.2
Ca3BiAs,0
Ca3BiSb,0
Ca3Cu2(ClO2)2,0
Ca3In,0
Ca3La2(SnS4)3,1.45
Ca3N2,1.55
Ca3PbN,0
Ca3Sb2,1.4
Ca3SbN,0
Ca3Sn2S7,0
Ca3Ti2(SiO4)3,1.65
Ca3TlN,0
Ca3Zr17O37,0
Ca4Al3O10,0
Ca4Bi6O13,2.76
Ca5(Bi7O13)2,2.6
Ca5Au2,0
Ca5B3O9F,6.53
Ca5Ir,0
Ca5Sb3,0
Ca5Sn4S13,0
Ca6Ag16N,0
Ca6Cu2Sn7,0
CaAgF5,0
CaAu5,0
CaB6,4.5
CaCdPd2,0
CaCdSi,0
CaCu5,0
CaEu2O3,0
CaEuO2,0
CaF2,9.92
CaGa3Ni2,0
CaGaAu3,0
CaGaGe,0
CaGe2,0
CaHfZn,0
CaHg2,0
CaI2,5.98
CaIn2Ir,0
CaIn4Ir,0
CaInAu,0
CaInPt,0
CaIrO3,0
CaMg2N2,3.25
CaMgSn,0
CaMnSn,0
CaNi5,0
CaOsO3,0
CaPb,0
CaPd3C,0
CaPrZn2,0
CaSnO3,4.4
CaTaNO2,2.4
CaTi4O8,0
CaTiO2,0
CaVO2,0
CaYbInSe4,0
CaZn2,0
CaZn3,0
CaZn3Ni2,0
CaZn5,0
CaZnSO,3.7
Cd(GaS2)2,3.4
Cd(In15Te23)2,1.17
Cd(PS2)2,3.76
Cd0.01Ga0.99Sb0.99Te0.01,0.72
Cd0.01Hg0.99Se1,1.72
Cd0.01In0.99Te0.01As0.99,0.76
Cd0.02In0.98Te0.02As0.98,0.73
Cd0.03In0.97Te0.03As0.97,0.71
Cd0.04In0.96Te0.04As0.96,0.69
Cd0.05Ga0.95Sb0.95Te0.05,0.74
Cd0.05In0.95Te0.05As0.95,0.68
Cd0.06In0.94Te0.06As0.94,0.68
Cd0.07In0.93Te0.07As0.93,0.68
Cd0.1Ga0.9Sb0.9Te0.1,0.78
Cd0.1In0.9Te0.1As0.9,0.69
Cd0.204Hg0.796Te1,0.06
Cd0.23Hg0.77Te1,0.12
Cd0.28Hg0.72Te1,0.21
Cd0.2Ga0.8Sb0.8Te0.2,0.8
Cd0.2In2.4Ag0.4Te4,0.42
Cd0.35Hg0.65Te1,0.28
Cd0.37Hg0.63Te1,0.35
Cd0.3Hg0.7Se1,1.1
Cd0.3Hg0.7Te1,0.27
Cd0.4Hg0.6Se1,0.95
Cd0.5Hg0.5Se1,0.8
Cd0.5In2.25Ag0.25Te4,0.39
Cd0.5In2.2Ag0.4Te4,0.19
Cd0.6Hg0.4Se1,0.7
Cd0.75In2.1Ag0.2Te4,0.54
Cd0.7Hg0.3Se1,0.55
Cd0.8Hg0.2Se1,0.45
Cd0.8In2.1Ag0.1Te4,0.29
Cd0.99Ga0.01Sb0.01Te0.99,1.35
Cd0.99Hg0.01Se1,0.29
Cd0.9Hg0.1Se1,0.35
Cd12Ge17(B4O29)2,4.29
Cd13I28,0
Cd1Se0.01S0.99,2.4
Cd1Se0.2S0.8,2.23
Cd1Se0.35S0.65,2.13
Cd1Se0.45S0.55,2.05
Cd1Se0.65S0.35,1.93
Cd1Se0.99S0.01,1.68
Cd2AgRh,0
Cd2InAgTe3,0.47
Cd2InCuTe3,0.7
Cd2InCuTe4,0.85
Cd2PbO4,0
Cd3AgPS6,2.56
Cd3Bi(PO4)3,3.9
Cd3Bi2,0.2
Cd3In2(Te2S)2,1.23
Cd3P2,0.5
Cd3Sb2,0.3
Cd3Te2MoO10,3.81
Cd4P2Br3,2.19
Cd4P2Cl3,2.17
Cd4P2I3,2.17
Cd4Sb2I3,1.83
Cd4Sb3,1.25
Cd5Ga2(Te3S)2,1.29
Cd6P7,0.85
Cd8B5O15F,3.14
CdAg,0
CdAg2(PS3)2,2.49
CdAg2GeS4,2.32
CdAsPd5,0
CdAuO2,0
CdBiClO2,3.08
CdBr2,4.47
CdCl2,5.7
CdCu(SeO3)2,3.33
CdCu2GeS4,2.05
CdCu2GeSe4,1.2
CdCu2SnS4,1.37
CdCu2SnSe4,0.96
CdF2,6
CdHIO4,4.35
CdHg4(AsI2)2,1.45
CdHg6(As2Br3)2,1.89
CdI2,3.8
CdIClO3,4.3
CdIn,0.6
CdIn8Te13,1.02
CdInCuSe3,1.66
CdO,2.3
CdP4PbO12,4.85
CdPd,0
CdPt,0
CdRhF6,0
CdSb2Se3Br2,1.4
CdSb4MoO10,3.4
CdSnO3,3
Ce(AlZn)2,0
Ce(BC)2,0
Ce(CoAs)2,0
Ce(CoB)4,0
Ce(CuSb)2,0
Ce(HO)3,0
Ce(InS2)3,1.11
Ce(MnGe)2,0
Ce(MnSi)2,0
Ce(PPt2)2,0
Ce(SiAu)2,0
Ce(SiNi)2,0
Ce(SiPd)2,0
Ce1.3Lu0.7S3,1.25
Ce10Se14O,1.93
Ce15B8N25,3.5
Ce1Mn0.5Se1O1,2.01
Ce2(SbPd3)3,0
Ce2(SnSe3)3,0.3
Ce2Al2Co15,0
Ce2Co5B2,0
Ce2CrN3,0
Ce2Cu(NO)2,0
Ce2Fe(SeO)2,0.64
Ce2Fe17,0
Ce2Ge2Se7,1.1
Ce2GeSe5,1.7
Ce2S2O,0
Ce2S3,1.12
Ce2Sb,0
Ce2Se3,1.75
Ce2SiSeO4,0
Ce2Ti2O7,0
Ce2ZnNi2,0
Ce3(Al3Ru)4,0
Ce3Al,0
Ce3AlC,0
Ce3B2(ClO2)3,0
Ce3In3Ru2,0
Ce3LuSe6,1.1
Ce3MnAlS7,0
Ce3MoO7,2
Ce3NbS3O4,0
Ce3Pd5,0
Ce3SiPt5,0
Ce3Ta(ClO2)3,0
Ce3TaO7,0
Ce4(GeS4)3,2.3
Ce4Bi3,0
Ce4FeSe6O,0
Ce4InSbSe9,1.69
Ce4Si3Rh4,0
Ce4Te7,0.5
Ce5(SiN3)3,0
Ce5CuSe8,0
Ce5Ge3,0
Ce5Si3,0
Ce6B2(CBr)3,0
Ce8Sb2S15,1.99
Ce8U2O21,0
Ce9SmO20,0
CeAgSn,0
CeAl2Pd5,0
CeAl2Pt3,0
CeAl3Ni2,0
CeAlO3,0
CeAlSi2,0
CeAsPd,0
CeAsSe,0
CeB2Ir3,0
CeBC,0
CeBiW2O9,2.34
CeCd2Ag,0
CeCdAu2,0
CeCoGeH,0
CeF3,4.85
CeGaO3,0
CeHSe,0
CeHg,0
CeInIr,0
CeIr5,0
CeLu3,0
CeMg2Ag,0
CeMgAg2,0
CeMgNi4,0
CeMgPt,0
CeMgZn2,0
CeMoO4F,2.52
CeN,0.7
CeNbO4,0
CeO2,3.41
CeOs2,0
CePd5,0
CePrO2,0
CeRh,0
CeSI,0
CeSbO3,0
CeScO3,3.2
CeSi2Ni,0
CeSi2Pt,0
CeSiI,0
CeSiIr,0
CeSiOs,0
CeTaN2O,1.9
CeTl2P2S7,2.4
CeTl3,0
CeTlZn,0
CeZnPO,0
Co(PO3)4,0
Co(WO4)2,0
Co1Te1.88,0.2
Co2B4Mo,0
Co2Ge,0
Co2O3,0
Co2Te3O8,3.6
Co3H,0
Co3Se4,0
Co3W,0
Co5Ge7,0
Co5RuO8,0
Co7Mo6,0
Co7Re17O48,0
CoAs3,0.4
CoAsRh,0
CoAsS,0.6
CoAsSe,0.2
CoCu2Sn,0
CoGe,0
CoH2(SN)4,0
CoMoP2,0
CoN,0
CoOF,0
CoP2,0.35
CoP3,0.45
CoPS,0.4
CoSb2,0.17
CoSb3,0.49
Cr(FeSe2)2,0
Cr(MoS2)2,0
Cr10Sb3Te7,0
Cr2CuS4,0
Cr2CuTe4,0
Cr2GeC,0
Cr2HO4,0
Cr2HgSe4,0
Cr2NiS4,0
Cr2O3,3.4
Cr2P3O11,0
Cr2SbTe,0
Cr3N2,0
Cr3Ni(PO4)6,0
Cr3P,0
Cr3Se4,1.59
Cr4As3,0
Cr4Cu3Te8,0
Cr7C3,0
CrAs,0
CrB2(PbO2)6,1.8
CrBi2I2O11,2.4
CrCo2Bi,0
CrCoGe,0
CrCoPt2,0
CrCu2Si,0
CrFe2Sb,0
CrFeP,0
CrH9(CN2)3,0
CrIrO4,0
CrIrO6,0
CrNi3,0
CrNiAs,0
CrNiP2O9,0
CrO2,0.23
CrO3,1.4
CrPbO4,2.25
CrSb2,0.14
CrSi2,1.3
CrTe2,0.17
Cs(AsRu)2,0
Cs(MoO3)3,0
Cs0.4K0.6P1Se6,2.1
Cs1.13Cd1.13Bi2.87Se6,1
Cs1.43Cd1.43Bi2.57S6,1.28
Cs10Cd4Sn4S17,3.16
Cs2AgBiBr6,2.19
Cs2AgBiCl6,2.77
Cs2Al2B2O7,4.13
Cs2Ba3(P2O7)2,6.31
Cs2Cd(PSe3)2,2.63
Cs2Cd0.25Hg5.75S7,1.66
Cs2Cd1.35Hg4.65S7,1.84
Cs2Cd2Bi2S5,1.7
Cs2Cd3(B4O7)4,4.76
Cs2Cd3Te4,2.48
Cs2CrCl4,0
Cs2Cu(PS3)3,2.4
Cs2Cu2Sb2S5,1.6
Cs2DyCu3Te4,1.38
Cs2Ga2S5,3.26
Cs2Ga2Se5,1.95
Cs2Hg(ICl)2,2.15
Cs2Hg3I8,2.56
Cs2Hg3S4,2.8
Cs2Hg6S7,1.63
Cs2La1.19Bi8.81S16,1
Cs2Li3(BO2)5,7.3
Cs2MgGe3Se8,2.04
Cs2MgSn3Se8,1.92
Cs2Mo15S19,0
Cs2NaCoF6,0
Cs2NaMgF6,0
Cs2NaMnF6,0
Cs2NbCuSe4,2.19
Cs2P2PdSe6,1.6
Cs2PdSe8,1.5
Cs2Pt(IO3)6,2.4
Cs2SCl6F,0
Cs2Sb,0.62
Cs2SeClF6,0
Cs2SiB4O9,6.53
Cs2Sn(PSe3)2,2.06
Cs2Sn3(SbS5)2,2.34
Cs2Te,3.5
Cs2TeBr6,2.12
Cs2TeI6,1.5
Cs2Th(PS3)3,2.8
Cs2Ti(AgS2)2,2.44
Cs2VAgS4,1.77
Cs2Zn3(SeO3)4,4.3
Cs2ZnGe3S8,3.33
Cs2ZnGe3Se8,2.31
Cs2ZnGe3Te8,1.07
Cs2ZnSn3Se8,2.12
Cs39Ga53(Se16Cl)6,2.74
Cs3As,0.6
Cs3Bi2Br9,2.5
Cs3Bi2I9,1.8
Cs3Li4(BO2)7,6.53
Cs3NaZn2Ge21,0.3
Cs3Nb2AsSe11,1.35
Cs3Nb9(TeO8)4,3.22
Cs3PW3O13,3.27
Cs3Sb,1.6
Cs3Sb2Br9,2.3
Cs3Sb2I9,1.89
Cs3Sn3Cl7F2,2.96
Cs3V2Cl9,0
Cs4Ag9(SbS3)4,2
Cs4BiAs3Se7,1.02
Cs4Ga4Si19,1.14
Cs4Ge(PSe3)4,2
Cs4Ge5(PbS4)4,1.95
Cs4In8GeSe16,2.2
Cs4Zr3S14,2.35
Cs5Bi(PSe3)4,1.85
Cs5Mo21Se23,0
Cs5P5Se12,2.17
Cs6.4Na1.6Ga8Ge38,0.22
CsAg2AsS3,2.7
CsAg2TeS6,2.04
CsAg5Te3,0.65
CsAgCl3,0
CsAgSb4S7,2.04
CsAu,2.3
CsB3O5,7.42
CsBi2,0.55
CsBi3Se5,0.43
CsBiS2,1.39
CsBiSe2,1.07
CsCaO3,0
CsCd4Ga5S12,3.09
CsCd4Ga5Se12,2.21
CsCd4Ga5Te12,1.67
CsCd4In5Se12,1.62
CsCd4In5Te12,1.42
CsCdBO3,2.58
CsCdInSe3,2.4
CsCeCdSe3,2.4
CsCeHgSe3,1.94
CsCu(SbS2)2,1.7
CsCu2AsS3,2.3
CsCu2SbS3,1.63
CsDy9(Cd2Se9)2,1.99
CsEr9(Cd2Se9)2,2.09
CsErZnSe3,2.56
CsEuF3,0
CsF,10
CsGa(SnSe3)2,1.87
CsGa7,0
CsGaS3,3
CsGaSnSe4,1.97
CsGdO3,0
CsGdZnTe3,2.13
CsGe5BO12,4.89
CsGeB3O7,5.76
CsGeI3,1.6
CsH3(SeO3)2,4.77
CsHo9(Cd2Se9)2,2.06
CsIn(SnSe3)2,1.78
CsInGeSe4,2.32
CsInHgS3,2.3
CsInI3,0
CsInS2,3.4
CsInSe2,2.81
CsInSnS4,2.9
CsInTe2,2.16
CsInTe3O8,3.9
CsIr,0
CsIrO3,0
CsK(PSe4)2,2.36
CsLaHgSe3,2.46
CsLi(B3O5)2,6.89
CsLiCO3,6.19
CsLu7S11,1.86
CsLu7Se11,1.78
CsMg149,0
CsMn4Ga5Te12,1.55
CsMn4In5Se12,1.79
CsMn4In5Te12,1.48
CsMnSb,0
CsNa2Sb,0.8
CsNa8(B7O12)3,4.67
CsNb6I11,0
CsNbSe2O7,4.2
